sample_id,price
100179,13.45848
245611,15.340077
146263,16.97992
95658,8.930327
36806,33.50581
148239,4.4338036
92659,7.147744
3780,11.333176
196940,7.564283
20472,5.163432
121721,23.118315
127336,1.4997125
20801,50.200024
30103,8.947787
68691,14.810145
230703,15.043371
3342,48.750668
115635,16.847778
221565,10.238671
265927,3.889958
290421,16.97992
222203,4.377871
40595,13.146716
157931,13.223971
41814,26.453556
250478,47.621353
130232,4.1489344
155825,17.864447
42104,9.674864
148748,50.79177
247548,8.178941
262167,21.090614
100183,21.88798
168985,2.0588918
18411,76.69555
111287,5.682008
156813,4.6647725
194861,1.7896699
104298,21.802647
59033,17.62187
31133,19.543766
299318,5.363879
255038,8.571455
220578,61.147015
38995,19.316074
253068,7.8196564
282143,7.5054164
226531,11.761645
233215,78.51434
33295,8.860833
198185,30.927343
238324,1.3681734
121672,15.400116
21434,13.8586035
61747,14.955483
270417,14.270623
105202,10.318975
202880,13.750753
79564,11.946866
251317,22.715485
205434,17.794798
15315,14.810145
276163,23.118315
245021,34.976887
25664,21.380943
90451,5.7489867
5215,8.895513
68223,31.291904
135447,24.227781
58777,34.908638
73979,17.348665
173699,8.067879
201120,12.892433
64448,9.00037
243239,38.791576
280496,16.107695
293812,14.955483
35203,2.4653745
31858,31.109087
162188,3.0206401
193450,7.154729
34991,6.5463414
232133,21.380943
294874,2.7156284
160416,21.67527
104466,18.53984
284624,1.9636496
19742,52.712036
87611,35.94648
227957,183.26578
68427,8.455065
204601,13.53757
107223,14.438842
237588,29.338663
1313,3.4564233
196900,3.038391
22107,21.930769
73030,4.4468117
181909,28.547304
23045,21.00839
142744,164.92139
169122,16.554213
239815,23.62037
41952,23.574282
227911,7.338718
31484,5.1836414
252567,2.6014128
225977,24.513374
48243,10.481475
201046,26.145367
161001,67.68359
292827,5.173527
159584,11.993622
281316,11.311063
224188,5.3481884
281823,11.946866
214851,19.968193
67570,12.892433
102740,16.20235
11978,33.05083
289925,11.223039
40458,10.139172
278700,35.876343
38662,5.411231
99886,6.5783844
172816,4.481689
275563,10.178856
26172,3.6685798
277062,3.825912
82592,11.556703
266300,7.9427986
202617,32.474937
234007,23.62037
78684,10.139172
42824,7.092121
128386,8.131156
252965,12.254085
277363,4.9607773
54646,9.524869
149645,21.973644
206564,13.484792
29321,13.223971
193776,5.8738356
60214,29.51108
133606,14.839098
95844,22.276127
75072,4.247324
71643,29.396027
297677,6.4637585
298180,15.888968
267622,5.4271073
129731,12.593782
72776,10.814194
286221,12.230175
93467,5.8224363
173148,20.401838
143720,76.09871
52592,7.9894753
225085,11.624617
213670,7.6834025
142420,58.346893
1008,6.3017054
128631,40.25815
44224,8.356561
16363,25.09469
64551,20.362028
217996,33.50581
262406,2.2634597
165161,13.67042
238864,29.858946
227930,18.252403
77202,9.94306
193685,13.095461
114683,13.06991
197108,19.467571
200477,2.834859
144035,30.507387
281994,4.247324
63221,57.89283
269260,15.490618
284873,2.9883654
94407,31.660759
243579,9.506284
51262,18.110365
115285,13.723924
247763,18.868618
298054,49.421745
275947,7.2958436
33858,21.339222
189285,202.06589
62318,33.31006
93113,3.1379025
155548,2.854304
220244,27.995152
22363,6.0190043
295868,2.362838
212510,57.89283
232238,10.920318
269310,34.908638
134611,6.5783844
154663,17.82959
248314,5.5179577
59089,40.81234
37902,16.749348
247147,28.996862
80803,19.09103
121057,6.8739195
30163,7.3315535
154861,7.092121
41265,5.2191978
160502,16.393337
290401,11.670115
62782,16.749348
151651,3.5349362
226249,16.393337
48224,11.266965
146944,97.3317
3438,12.374341
161259,103.609085
47173,25.740017
25800,3.5731142
50001,25.840763
290756,8.930327
181986,22.893646
10843,9.788908
190551,2.871078
85154,11.113972
134653,5.698679
229643,5.5449667
95464,5.4536715
54059,10.605028
115479,2.2013316
97906,25.891283
127371,11.422064
24362,5.9372735
118312,7.3315535
22583,12.692555
19732,66.89506
212955,5.6653867
21886,3.3829565
224325,13.564036
203894,1.0180441
191752,9.4507475
286196,64.83691
248824,17.62187
43717,24.948078
262589,7.417976
140499,27.995152
242880,17.281033
201240,4.4165177
89117,3.9319701
298713,9.322416
271738,3.8035598
38576,14.66622
950,11.601936
79433,20.362028
66341,7.534792
55422,6.921069
182312,9.562148
866,17.213655
